document_title,version,live_page_url,source_path,duplicates,reviewer,audited,fixed,notes
Common Troubleshooting Tips,current,https://docs.netwrix.com/docs/changetracker/install/agent/troubleshooting_1,docs/changetracker/install/agent/troubleshooting_1.md,,,,,
Express Agent Troubleshooting,current,https://docs.netwrix.com/docs/changetracker/install/agent/troubleshooting,docs/changetracker/install/agent/troubleshooting.md,,,,,
Upgrade from Agent App to Gen 7 Agent,current,https://docs.netwrix.com/docs/changetracker/install/agent/upgrade,docs/changetracker/install/agent/upgrade.md,,,,,
Installing Gen 7 Agent for Windows,current,https://docs.netwrix.com/docs/changetracker/install/agent/windows,docs/changetracker/install/agent/windows.md,,,,,
Linux,current,https://docs.netwrix.com/docs/changetracker/install/databasecustompathoverview/databasecustompathlinux,docs/changetracker/install/databasecustompathoverview/databasecustompathlinux.md,,,,,
Hub,current,https://docs.netwrix.com/docs/changetracker/install/hub,docs/changetracker/install/hub.md,,,,,
Netwrix Auditor Integration,current,https://docs.netwrix.com/docs/changetracker/integration/netwrixproducts/netwrixauditor,docs/changetracker/integration/netwrixproducts/netwrixauditor.md,,,,,
Agent and Device Ports,current,https://docs.netwrix.com/docs/changetracker/requirements/agentdeviceports,docs/changetracker/requirements/agentdeviceports.md,,,,,
Express Agent,current,https://docs.netwrix.com/docs/changetracker/requirements/expressagent,docs/changetracker/requirements/expressagent.md,,,,,
Gen 7 Agent for Linux,current,https://docs.netwrix.com/docs/changetracker/requirements/gen7agentlinux,docs/changetracker/requirements/gen7agentlinux.md,,,,,
Gen 7 Agent for Windows,current,https://docs.netwrix.com/docs/changetracker/requirements/gen7agentwindows,docs/changetracker/requirements/gen7agentwindows.md,,,,,
Hub Installation for Windows,current,https://docs.netwrix.com/docs/changetracker/requirements/windowsserver,docs/changetracker/requirements/windowsserver.md,,,,,
